model_id,model_label,stage,covariate_set,outcome,outcome_label,formula,term_label,p_label,term,estimate,robust_se,statistic,p_value,conf_low,conf_high
S6_z_female_LC_YLL_primary_logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,primary_logGDP,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_logGDP + z_urbanisation + z_age65 + WHO_region_model,Population aged 65+ (z),<0.001,z_age65,0.5727118867311775,0.12275845358389356,4.6653559898405215,6.673984993540223e-6,0.3321053177067461,0.8133184557556088
S6_z_female_LC_YLL_primary_logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,primary_logGDP,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_logGDP + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelAmericas,0.050,WHO_region_modelAmericas,-0.19513669834337188,0.09860724051370803,-1.9789287006388203,0.049618930174382875,-0.3884068897502396,-0.001866506936504142
S6_z_female_LC_YLL_primary_logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,primary_logGDP,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_logGDP + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelEastern Mediterranean,0.211,WHO_region_modelEastern Mediterranean,-0.09316558813633678,0.07411842629746249,-1.2569828150753168,0.21067537173943152,-0.23843770367936323,0.05210652740668968
S6_z_female_LC_YLL_primary_logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,primary_logGDP,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_logGDP + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelEuropean,0.422,WHO_region_modelEuropean,-0.13875978529752045,0.17242623610782026,-0.8047486764760801,0.42221347300603773,-0.47671520806884815,0.19919563747380728
S6_z_female_LC_YLL_primary_logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,primary_logGDP,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_logGDP + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelSouth-East Asia,0.526,WHO_region_modelSouth-East Asia,-0.0745426102838378,0.11738257195227823,-0.6350398448769977,0.5263509735105127,-0.3046124513103031,0.15552723074262753
S6_z_female_LC_YLL_primary_logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,primary_logGDP,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_logGDP + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelWestern Pacific,0.395,WHO_region_modelWestern Pacific,0.15742918597860667,0.1845605782814738,0.8529946505613514,0.39499564184400393,-0.20430954745308194,0.5191679194102953
S6_z_female_LC_YLL_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,Intercept,0.519,(Intercept),0.052864247518769766,0.08181418519756492,0.6461501436592342,0.5191438485867903,-0.10749155546845747,0.21322005050599702
S6_z_female_LC_YLL_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,Historical female smoking (z),0.006,z_historical_smoking,0.2073238977678769,0.07446917311742104,2.7840230942402706,0.006042339292555427,0.06136431845773166,0.35328347707802216
S6_z_female_LC_YLL_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,SDI (z),0.527,z_SDI,0.052288122059944764,0.08241480482484945,0.634450596237765,0.5267281678167347,-0.10924489539676016,0.2138211395166497
S6_z_female_LC_YLL_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,Urbanisation (z),0.390,z_urbanisation,0.05594682884592453,0.06494672027147115,0.8614265448982192,0.3903424452915105,-0.07134874288615892,0.18324240057800797
