ISO3,Country or territory,WHO region,Income group,Complete four-indicator frame,Complete incidence-model data,Missingness pattern,"Female smoking, 2022 (%)","Clean-fuel access, 2020 (%)","Ambient PM2.5, 2019 (micrograms/m3)","Female lung-cancer incidence, 2021 (age-standardised rate per 100,000)"
ISR,Israel,European,High-income,Yes,Yes,Complete four-indicator frame,13.800,100.000,19.471,12.933
ITA,Italy,European,High-income,Yes,Yes,Complete four-indicator frame,19.100,100.000,14.225,17.409
JAM,Jamaica,Americas,Upper-middle-income,Yes,Yes,Complete four-indicator frame,3.500,92.400,14.831,8.013
JOR,Jordan,Eastern Mediterranean,Lower-middle-income,Yes,Yes,Complete four-indicator frame,13.600,99.700,25.872,4.675
JPN,Japan,Western Pacific,High-income,Yes,Yes,Complete four-indicator frame,9.600,100.000,10.835,15.284
KAZ,Kazakhstan,European,Upper-middle-income,Yes,Yes,Complete four-indicator frame,6.400,94.200,26.502,5.362
KEN,Kenya,African,Lower-middle-income,Yes,Yes,Complete four-indicator frame,0.800,23.050,12.524,2.395
KGZ,Kyrgyzstan,European,Lower-middle-income,Yes,Yes,Complete four-indicator frame,3.200,78.600,37.585,4.739
KHM,Cambodia,Western Pacific,Lower-middle-income,Yes,Yes,Complete four-indicator frame,1.600,40.600,17.803,11.254
KIR,Kiribati,Western Pacific,Lower-middle-income,Yes,Yes,Complete four-indicator frame,26.800,11.900,7.618,6.326
KNA,Saint Kitts and Nevis,Americas,High-income,No,No,Missing female smoking only,,100.000,8.051,6.150
KOR,Republic of Korea,Western Pacific,High-income,Yes,Yes,Complete four-indicator frame,5.800,100.000,24.038,16.708
KWT,Kuwait,Eastern Mediterranean,High-income,Yes,Yes,Complete four-indicator frame,2.100,100.000,64.077,3.158
LAO,Lao People's Democratic Republic,Western Pacific,Lower-middle-income,Yes,Yes,Complete four-indicator frame,4.700,8.800,21.155,10.879
LBN,Lebanon,Eastern Mediterranean,Lower-middle-income,No,Yes,Missing clean-fuel access only,25.700,,24.234,12.161
LBR,Liberia,African,Low-income,Yes,Yes,Complete four-indicator frame,1.300,0.600,35.796,2.890
LBY,Libya,Eastern Mediterranean,Upper-middle-income,No,No,Missing smoking and clean fuel,,,29.836,5.524
LCA,Saint Lucia,Americas,Upper-middle-income,Yes,Yes,Complete four-indicator frame,3.000,93.500,8.977,6.747
LKA,Sri Lanka,South-East Asia,Lower-middle-income,Yes,Yes,Complete four-indicator frame,0.200,32.100,23.878,4.277
LSO,Lesotho,African,Lower-middle-income,Yes,Yes,Complete four-indicator frame,0.400,48.100,17.598,8.563
LTU,Lithuania,European,High-income,Yes,Yes,Complete four-indicator frame,19.700,100.000,10.369,9.074
LUX,Luxembourg,European,High-income,Yes,Yes,Complete four-indicator frame,21.600,100.000,8.895,20.313
LVA,Latvia,European,High-income,Yes,Yes,Complete four-indicator frame,19.500,100.000,12.022,9.361
MAR,Morocco,Eastern Mediterranean,Lower-middle-income,Yes,Yes,Complete four-indicator frame,1.000,98.200,13.440,2.032
MCO,Monaco,European,High-income,No,No,Missing female smoking only,,100.000,9.211,56.167
MDA,Republic of Moldova,European,Upper-middle-income,Yes,Yes,Complete four-indicator frame,6.700,97.900,12.365,6.455
MDG,Madagascar,African,Low-income,Yes,Yes,Complete four-indicator frame,1.300,1.300,16.023,3.296
MDV,Maldives,South-East Asia,Upper-middle-income,Yes,Yes,Complete four-indicator frame,3.800,99.600,13.003,4.546
MEX,Mexico,Americas,Upper-middle-income,Yes,Yes,Complete four-indicator frame,6.900,85.000,17.828,5.294
MHL,Marshall Islands,Western Pacific,Upper-middle-income,Yes,Yes,Complete four-indicator frame,4.000,65.200,7.215,14.148
MKD,North Macedonia,European,Upper-middle-income,No,No,Missing female smoking only,,78.900,25.168,13.131
MLI,Mali,African,Low-income,Yes,Yes,Complete four-indicator frame,0.700,1.200,38.549,3.096
MLT,Malta,European,High-income,Yes,Yes,Complete four-indicator frame,23.200,100.000,12.930,11.565
MMR,Myanmar,South-East Asia,Lower-middle-income,Yes,Yes,Complete four-indicator frame,3.100,40.100,27.165,11.078
MNE,Montenegro,European,Upper-middle-income,Yes,Yes,Complete four-indicator frame,33.200,61.500,19.296,24.616
MNG,Mongolia,Western Pacific,Upper-middle-income,Yes,Yes,Complete four-indicator frame,6.600,51.800,41.304,8.582
MOZ,Mozambique,African,Low-income,No,No,Missing female smoking only,,6.100,16.448,3.763
MRT,Mauritania,African,Lower-middle-income,Yes,Yes,Complete four-indicator frame,1.400,47.500,41.985,4.591
MUS,Mauritius,African,Upper-middle-income,Yes,Yes,Complete four-indicator frame,3.000,99.000,10.482,5.549
MWI,Malawi,African,Low-income,Yes,Yes,Complete four-indicator frame,1.300,1.800,18.570,0.816
MYS,Malaysia,Western Pacific,Upper-middle-income,Yes,Yes,Complete four-indicator frame,0.500,87.550,21.522,10.119
NAM,Namibia,African,Lower-middle-income,Yes,Yes,Complete four-indicator frame,4.600,46.900,11.811,3.655
NER,Niger,African,Low-income,Yes,Yes,Complete four-indicator frame,0.600,3.800,50.150,1.918
NGA,Nigeria,African,Lower-middle-income,Yes,Yes,Complete four-indicator frame,0.400,18.900,55.642,0.923
