Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.
WHO region factorEastern Mediterranean,-0.141606304093444,0.07727334850724168,0.07727334850724168,-1.8325374379262642,-1.8325374379262642,0.06881545878696771,0.06881545878696771,-0.2930620671676377,-0.2930620671676377,0.009849458980749709,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2005,S1 smoke2005,Female smoking 2005,Female smoking 2005,female smoking 2005,female smoking 2005,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorEuropean,-0.28798275892129654,0.1296936945799341,0.1296936945799341,-2.2204838859286578,-2.2204838859286578,0.027855652579528982,0.027855652579528982,-0.5421824002979674,-0.5421824002979674,-0.03378311754462571,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2005,S1 smoke2005,Female smoking 2005,Female smoking 2005,female smoking 2005,female smoking 2005,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorSouth-East Asia,-0.15505123518889147,0.09546747998818128,0.09546747998818128,-1.6241261967749285,-1.6241261967749285,0.10640728379792366,0.10640728379792366,-0.34216749596572676,-0.34216749596572676,0.03206502558794383,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2005,S1 smoke2005,Female smoking 2005,Female smoking 2005,female smoking 2005,female smoking 2005,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorWestern Pacific,0.044103489042007,0.15198331887917463,0.15198331887917463,0.2901863794477924,0.2901863794477924,0.7720665823940782,0.7720665823940782,-0.2537838159611753,-0.2537838159611753,0.3419907940451893,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2005,S1 smoke2005,Female smoking 2005,Female smoking 2005,female smoking 2005,female smoking 2005,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
(Intercept),0.1131231188744205,0.06727010869075212,0.06727010869075212,1.681625332203038,1.681625332203038,0.09468155881258675,0.09468155881258675,-0.01872629415945365,-0.01872629415945365,0.24497253190829466,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2010,S1 smoke2010,Female smoking 2010,Female smoking 2010,female smoking 2010,female smoking 2010,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
smoking z,0.15073004947818686,0.05347147763176269,0.05347147763176269,2.818886931014067,2.818886931014067,0.00545673320596389,0.00545673320596389,0.04592595331993199,0.04592595331993199,0.2555341456364417,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2010,S1 smoke2010,Female smoking 2010,Female smoking 2010,female smoking 2010,female smoking 2010,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z logGDP,0.15117122109652656,0.0566642036526132,0.0566642036526132,2.6678433888050406,2.6678433888050406,0.008456325764618614,0.008456325764618614,0.04010938193740468,0.04010938193740468,0.2622330602556484,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2010,S1 smoke2010,Female smoking 2010,Female smoking 2010,female smoking 2010,female smoking 2010,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z urbanisation,0.007257626643158289,0.04815209559906646,0.04815209559906646,0.15072296548811046,0.15072296548811046,0.8803927868440076,0.8803927868440076,-0.08712048073101197,-0.08712048073101197,0.10163573401732856,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2010,S1 smoke2010,Female smoking 2010,Female smoking 2010,female smoking 2010,female smoking 2010,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z age65,0.596444167224286,0.07542609926082877,0.07542609926082877,7.907662905405461,7.907662905405461,4.856939773359468e-13,4.856939773359468e-13,0.4486090126730615,0.4486090126730615,0.7442793217755104,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2010,S1 smoke2010,Female smoking 2010,Female smoking 2010,female smoking 2010,female smoking 2010,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorAmericas,-0.24568204579434855,0.08652757151903653,0.08652757151903653,-2.8393498335995386,-2.8393498335995386,0.005135306427722221,0.005135306427722221,-0.41527608597166016,-0.41527608597166016,-0.07608800561703694,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2010,S1 smoke2010,Female smoking 2010,Female smoking 2010,female smoking 2010,female smoking 2010,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorEastern Mediterranean,-0.14517715554363408,0.08110080617985632,0.08110080617985632,-1.7900827671389157,-1.7900827671389157,0.07541823434249224,0.07541823434249224,-0.30413473565615246,-0.30413473565615246,0.013780424568884314,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2010,S1 smoke2010,Female smoking 2010,Female smoking 2010,female smoking 2010,female smoking 2010,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorEuropean,-0.27461592958022896,0.1316106470127638,0.1316106470127638,-2.086578371988372,-2.086578371988372,0.03858514170233158,0.03858514170233158,-0.5325727977252459,-0.5325727977252459,-0.016659061435211953,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2010,S1 smoke2010,Female smoking 2010,Female smoking 2010,female smoking 2010,female smoking 2010,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorSouth-East Asia,-0.11980545636218888,0.0937567111092777,0.0937567111092777,-1.2778333939481963,-1.2778333939481963,0.203243552115811,0.203243552115811,-0.30356861013637315,-0.30356861013637315,0.0639576974119954,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2010,S1 smoke2010,Female smoking 2010,Female smoking 2010,female smoking 2010,female smoking 2010,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
