"Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit."
Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.
Model id,Model label,Model label,Stage,Stage,Model code,Outcome,Outcome label,Outcome label,Formula,Formula,Term label,P label,Term,Term,Estimate,Estimate,Robust se,Statistic,P value,P value,Conf low,Conf low,Conf high
S7 YLL-based smoking-adjusted burden residual C clean fuel PM2.5,S7 YLL-based smoking-adjusted burden residual C clean fuel PM2.5,Step 7,Step 7,C clean fuel PM2.5,C clean fuel PM2.5,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,7.234945071658123e-18,7.234945071658123e-18,0.4990877879785009,0.4990877879785009,0.8321178832494839,0.8321178832494839,2.577951958034336e-12,2.577951958034336e-12,7.415536935856563,7.415536935856563,0.024532206641023475,0.024532206641023475,0.1779310277305354,0.1779310277305354,6,6
S7 YLL-based smoking-adjusted burden residual D add rural,S7 YLL-based smoking-adjusted burden residual D add rural,Step 7,Step 7,D add rural,D add rural,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,1.0129651232991558e-17,1.0129651232991558e-17,0.49908746743834964,0.49908746743834964,0.8321615710775132,0.8321615710775132,2.5887227419669537e-12,2.5887227419669537e-12,8.29593437040999,8.29593437040999,0.04027563581126525,0.04027563581126525,0.14284322324972765,0.14284322324972765,6,6
S7 YLL-based smoking-adjusted burden residual E income sensitivity,S7 YLL-based smoking-adjusted burden residual E income sensitivity,Step 7,Step 7,E income sensitivity,E income sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,9.198100180823899e-18,9.198100180823899e-18,0.4994394727689836,0.4994394727689836,0.8317274510045336,0.8317274510045336,2.7492052483583892e-12,2.7492052483583892e-12,11.924515056009477,11.924515056009477,0.03583686638292048,0.03583686638292048,0.1267440916214094,0.1267440916214094,4,4
S7 YLL-based smoking-adjusted burden residual E region sensitivity,S7 YLL-based smoking-adjusted burden residual E region sensitivity,Step 7,Step 7,E region sensitivity,E region sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,1.242846708539449e-17,1.242846708539449e-17,0.49832463202618793,0.49832463202618793,0.8353603558083604,0.8353603558083604,3.520042696230602e-12,3.520042696230602e-12,12.964669468341013,12.964669468341013,0.07297390607098922,0.07297390607098922,0.26799769095349163,0.26799769095349163,6,6
S7 DALY-based smoking-adjusted burden residual A clean fuel,S7 DALY-based smoking-adjusted burden residual A clean fuel,Step 7,Step 7,A clean fuel,A clean fuel,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,7.25137277586807e-18,7.25137277586807e-18,0.497276515865526,0.497276515865526,0.8385537221471424,0.8385537221471424,4.803494823824738e-12,4.803494823824738e-12,4.969553960597951,4.969553960597951,0.02579729930686306,0.02579729930686306,0.1934101727755142,0.1934101727755142,6,6
S7 DALY-based smoking-adjusted burden residual B PM2.5,S7 DALY-based smoking-adjusted burden residual B PM2.5,Step 7,Step 7,B PM2.5,B PM2.5,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,6.791229558942945e-18,6.791229558942945e-18,0.4951505287317796,0.4951505287317796,0.8296570032071617,0.8296570032071617,1.6659097496053076e-12,1.6659097496053076e-12,5.202859481784301,5.202859481784301,0.022549763719168132,0.022549763719168132,0.23704104265871362,0.23704104265871362,8,8
S7 DALY-based smoking-adjusted burden residual C clean fuel PM2.5,S7 DALY-based smoking-adjusted burden residual C clean fuel PM2.5,Step 7,Step 7,C clean fuel PM2.5,C clean fuel PM2.5,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,6.552710012849746e-18,6.552710012849746e-18,0.4964434149993323,0.4964434149993323,0.8337157203093947,0.8337157203093947,3.004072188826694e-12,3.004072188826694e-12,7.530624880149771,7.530624880149771,0.0231603748754828,0.0231603748754828,0.1763310474055246,0.1763310474055246,6,6
S7 DALY-based smoking-adjusted burden residual D add rural,S7 DALY-based smoking-adjusted burden residual D add rural,Step 7,Step 7,D add rural,D add rural,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,-3.373181920551873e-17,-3.373181920551873e-17,0.4964429082431598,0.4964429082431598,0.8337743121365092,0.8337743121365092,3.0210282248622905e-12,3.0210282248622905e-12,8.427803044794489,8.427803044794489,0.03795019449727527,0.03795019449727527,0.14155324273748124,0.14155324273748124,6,6
S7 DALY-based smoking-adjusted burden residual E income sensitivity,S7 DALY-based smoking-adjusted burden residual E income sensitivity,Step 7,Step 7,E income sensitivity,E income sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,-1.4106571406867842e-17,-1.4106571406867842e-17,0.49675405065680406,0.49675405065680406,0.8334130772031231,0.8334130772031231,3.2287205600697526e-12,3.2287205600697526e-12,12.12714111093027,12.12714111093027,0.03308657877181727,0.03308657877181727,0.12556238418886684,0.12556238418886684,4,4
S7 DALY-based smoking-adjusted burden residual E region sensitivity,S7 DALY-based smoking-adjusted burden residual E region sensitivity,Step 7,Step 7,E region sensitivity,E region sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,-2.0936129140507162e-17,-2.0936129140507162e-17,0.4956809681421224,0.4956809681421224,0.8368893472442367,0.8368893472442367,4.08287829233527e-12,4.08287829233527e-12,13.004024987756024,13.004024987756024,0.07201038367152798,0.07201038367152798,0.26572650731290354,0.26572650731290354,6,6
Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.,Subtable 4. Residual mismatch vif.
Model id,Model id,Model id,Stage,Stage,Stage,Model code,Model code,Model code,Outcome,Outcome,Outcome,Term,Term,Term,VIF,VIF,VIF,Gvif,Gvif,Gvif,Gvif adj,Gvif adj,Gvif adj
S7 mortality-based smoking-adjusted burden residual C clean fuel PM2.5,S7 mortality-based smoking-adjusted burden residual C clean fuel PM2.5,S7 mortality-based smoking-adjusted burden residual C clean fuel PM2.5,Step 7,Step 7,Step 7,C clean fuel PM2.5,C clean fuel PM2.5,C clean fuel PM2.5,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,z clean fuel deficit,z clean fuel deficit,z clean fuel deficit,1.1370632203847248,1.1370632203847248,1.1370632203847248,NA,NA,NA,NA,NA,NA
S7 mortality-based smoking-adjusted burden residual C clean fuel PM2.5,S7 mortality-based smoking-adjusted burden residual C clean fuel PM2.5,S7 mortality-based smoking-adjusted burden residual C clean fuel PM2.5,Step 7,Step 7,Step 7,C clean fuel PM2.5,C clean fuel PM2.5,C clean fuel PM2.5,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,z PM2.5,z PM2.5,z PM2.5,1.1370632203847248,1.1370632203847248,1.1370632203847248,NA,NA,NA,NA,NA,NA
S7 mortality-based smoking-adjusted burden residual D add rural,S7 mortality-based smoking-adjusted burden residual D add rural,S7 mortality-based smoking-adjusted burden residual D add rural,Step 7,Step 7,Step 7,D add rural,D add rural,D add rural,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,z clean fuel deficit,z clean fuel deficit,z clean fuel deficit,1.3543110929946196,1.3543110929946196,1.3543110929946196,NA,NA,NA,NA,NA,NA
S7 mortality-based smoking-adjusted burden residual D add rural,S7 mortality-based smoking-adjusted burden residual D add rural,S7 mortality-based smoking-adjusted burden residual D add rural,Step 7,Step 7,Step 7,D add rural,D add rural,D add rural,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,z rural clean fuel disadvantage,z rural clean fuel disadvantage,z rural clean fuel disadvantage,1.2679188481580448,1.2679188481580448,1.2679188481580448,NA,NA,NA,NA,NA,NA
S7 mortality-based smoking-adjusted burden residual D add rural,S7 mortality-based smoking-adjusted burden residual D add rural,S7 mortality-based smoking-adjusted burden residual D add rural,Step 7,Step 7,Step 7,D add rural,D add rural,D add rural,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,z PM2.5,z PM2.5,z PM2.5,1.1503822864600075,1.1503822864600075,1.1503822864600075,NA,NA,NA,NA,NA,NA
S7 mortality-based smoking-adjusted burden residual E income sensitivity,S7 mortality-based smoking-adjusted burden residual E income sensitivity,S7 mortality-based smoking-adjusted burden residual E income sensitivity,Step 7,Step 7,Step 7,E income sensitivity,E income sensitivity,E income sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,z clean fuel deficit,z clean fuel deficit,z clean fuel deficit,NA,NA,NA,3.9396910773375238,3.9396910773375238,3.9396910773375238,1.9848655061080396,1.9848655061080396,1.9848655061080396
S7 mortality-based smoking-adjusted burden residual E income sensitivity,S7 mortality-based smoking-adjusted burden residual E income sensitivity,S7 mortality-based smoking-adjusted burden residual E income sensitivity,Step 7,Step 7,Step 7,E income sensitivity,E income sensitivity,E income sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,z PM2.5,z PM2.5,z PM2.5,NA,NA,NA,1.355679049118141,1.355679049118141,1.355679049118141,1.1643363127198862,1.1643363127198862,1.1643363127198862
S7 mortality-based smoking-adjusted burden residual E income sensitivity,S7 mortality-based smoking-adjusted burden residual E income sensitivity,S7 mortality-based smoking-adjusted burden residual E income sensitivity,Step 7,Step 7,Step 7,E income sensitivity,E income sensitivity,E income sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,income group model,income group model,income group model,NA,NA,NA,4.560610439231005,4.560610439231005,4.560610439231005,1.2877666176705842,1.2877666176705842,1.2877666176705842
S7 mortality-based smoking-adjusted burden residual E region sensitivity,S7 mortality-based smoking-adjusted burden residual E region sensitivity,S7 mortality-based smoking-adjusted burden residual E region sensitivity,Step 7,Step 7,Step 7,E region sensitivity,E region sensitivity,E region sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,z clean fuel deficit,z clean fuel deficit,z clean fuel deficit,NA,NA,NA,2.3748149515489203,2.3748149515489203,2.3748149515489203,1.541043461927314,1.541043461927314,1.541043461927314
S7 mortality-based smoking-adjusted burden residual E region sensitivity,S7 mortality-based smoking-adjusted burden residual E region sensitivity,S7 mortality-based smoking-adjusted burden residual E region sensitivity,Step 7,Step 7,Step 7,E region sensitivity,E region sensitivity,E region sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,z PM2.5,z PM2.5,z PM2.5,NA,NA,NA,2.0173782581954245,2.0173782581954245,2.0173782581954245,1.4203444153427804,1.4203444153427804,1.4203444153427804
S7 mortality-based smoking-adjusted burden residual E region sensitivity,S7 mortality-based smoking-adjusted burden residual E region sensitivity,S7 mortality-based smoking-adjusted burden residual E region sensitivity,Step 7,Step 7,Step 7,E region sensitivity,E region sensitivity,E region sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,WHO region model,WHO region model,WHO region model,NA,NA,NA,3.954392504196513,3.954392504196513,3.954392504196513,1.147381854654131,1.147381854654131,1.147381854654131
S7 YLL-based smoking-adjusted burden residual C clean fuel PM2.5,S7 YLL-based smoking-adjusted burden residual C clean fuel PM2.5,S7 YLL-based smoking-adjusted burden residual C clean fuel PM2.5,Step 7,Step 7,Step 7,C clean fuel PM2.5,C clean fuel PM2.5,C clean fuel PM2.5,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,z clean fuel deficit,z clean fuel deficit,z clean fuel deficit,1.1370632203847248,1.1370632203847248,1.1370632203847248,NA,NA,NA,NA,NA,NA
S7 YLL-based smoking-adjusted burden residual C clean fuel PM2.5,S7 YLL-based smoking-adjusted burden residual C clean fuel PM2.5,S7 YLL-based smoking-adjusted burden residual C clean fuel PM2.5,Step 7,Step 7,Step 7,C clean fuel PM2.5,C clean fuel PM2.5,C clean fuel PM2.5,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,z PM2.5,z PM2.5,z PM2.5,1.1370632203847248,1.1370632203847248,1.1370632203847248,NA,NA,NA,NA,NA,NA
S7 YLL-based smoking-adjusted burden residual D add rural,S7 YLL-based smoking-adjusted burden residual D add rural,S7 YLL-based smoking-adjusted burden residual D add rural,Step 7,Step 7,Step 7,D add rural,D add rural,D add rural,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,z clean fuel deficit,z clean fuel deficit,z clean fuel deficit,1.3543110929946196,1.3543110929946196,1.3543110929946196,NA,NA,NA,NA,NA,NA
S7 YLL-based smoking-adjusted burden residual D add rural,S7 YLL-based smoking-adjusted burden residual D add rural,S7 YLL-based smoking-adjusted burden residual D add rural,Step 7,Step 7,Step 7,D add rural,D add rural,D add rural,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,z rural clean fuel disadvantage,z rural clean fuel disadvantage,z rural clean fuel disadvantage,1.2679188481580448,1.2679188481580448,1.2679188481580448,NA,NA,NA,NA,NA,NA
S7 YLL-based smoking-adjusted burden residual D add rural,S7 YLL-based smoking-adjusted burden residual D add rural,S7 YLL-based smoking-adjusted burden residual D add rural,Step 7,Step 7,Step 7,D add rural,D add rural,D add rural,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,z PM2.5,z PM2.5,z PM2.5,1.1503822864600075,1.1503822864600075,1.1503822864600075,NA,NA,NA,NA,NA,NA
S7 YLL-based smoking-adjusted burden residual E income sensitivity,S7 YLL-based smoking-adjusted burden residual E income sensitivity,S7 YLL-based smoking-adjusted burden residual E income sensitivity,Step 7,Step 7,Step 7,E income sensitivity,E income sensitivity,E income sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,z clean fuel deficit,z clean fuel deficit,z clean fuel deficit,NA,NA,NA,3.9396910773375233,3.9396910773375233,3.9396910773375233,1.9848655061080394,1.9848655061080394,1.9848655061080394
S7 YLL-based smoking-adjusted burden residual E income sensitivity,S7 YLL-based smoking-adjusted burden residual E income sensitivity,S7 YLL-based smoking-adjusted burden residual E income sensitivity,Step 7,Step 7,Step 7,E income sensitivity,E income sensitivity,E income sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,z PM2.5,z PM2.5,z PM2.5,NA,NA,NA,1.3556790491181407,1.3556790491181407,1.3556790491181407,1.1643363127198862,1.1643363127198862,1.1643363127198862
S7 YLL-based smoking-adjusted burden residual E income sensitivity,S7 YLL-based smoking-adjusted burden residual E income sensitivity,S7 YLL-based smoking-adjusted burden residual E income sensitivity,Step 7,Step 7,Step 7,E income sensitivity,E income sensitivity,E income sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,income group model,income group model,income group model,NA,NA,NA,4.560610439231006,4.560610439231006,4.560610439231006,1.2877666176705844,1.2877666176705844,1.2877666176705844
S7 YLL-based smoking-adjusted burden residual E region sensitivity,S7 YLL-based smoking-adjusted burden residual E region sensitivity,S7 YLL-based smoking-adjusted burden residual E region sensitivity,Step 7,Step 7,Step 7,E region sensitivity,E region sensitivity,E region sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,z clean fuel deficit,z clean fuel deficit,z clean fuel deficit,NA,NA,NA,2.374814951548919,2.374814951548919,2.374814951548919,1.5410434619273135,1.5410434619273135,1.5410434619273135
S7 YLL-based smoking-adjusted burden residual E region sensitivity,S7 YLL-based smoking-adjusted burden residual E region sensitivity,S7 YLL-based smoking-adjusted burden residual E region sensitivity,Step 7,Step 7,Step 7,E region sensitivity,E region sensitivity,E region sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,z PM2.5,z PM2.5,z PM2.5,NA,NA,NA,2.0173782581954254,2.0173782581954254,2.0173782581954254,1.4203444153427807,1.4203444153427807,1.4203444153427807
S7 YLL-based smoking-adjusted burden residual E region sensitivity,S7 YLL-based smoking-adjusted burden residual E region sensitivity,S7 YLL-based smoking-adjusted burden residual E region sensitivity,Step 7,Step 7,Step 7,E region sensitivity,E region sensitivity,E region sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,WHO region model,WHO region model,WHO region model,NA,NA,NA,3.954392504196516,3.954392504196516,3.954392504196516,1.1473818546541312,1.1473818546541312,1.1473818546541312
S7 DALY-based smoking-adjusted burden residual C clean fuel PM2.5,S7 DALY-based smoking-adjusted burden residual C clean fuel PM2.5,S7 DALY-based smoking-adjusted burden residual C clean fuel PM2.5,Step 7,Step 7,Step 7,C clean fuel PM2.5,C clean fuel PM2.5,C clean fuel PM2.5,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,z clean fuel deficit,z clean fuel deficit,z clean fuel deficit,1.1370632203847248,1.1370632203847248,1.1370632203847248,NA,NA,NA,NA,NA,NA
S7 DALY-based smoking-adjusted burden residual C clean fuel PM2.5,S7 DALY-based smoking-adjusted burden residual C clean fuel PM2.5,S7 DALY-based smoking-adjusted burden residual C clean fuel PM2.5,Step 7,Step 7,Step 7,C clean fuel PM2.5,C clean fuel PM2.5,C clean fuel PM2.5,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,z PM2.5,z PM2.5,z PM2.5,1.1370632203847248,1.1370632203847248,1.1370632203847248,NA,NA,NA,NA,NA,NA
S7 DALY-based smoking-adjusted burden residual D add rural,S7 DALY-based smoking-adjusted burden residual D add rural,S7 DALY-based smoking-adjusted burden residual D add rural,Step 7,Step 7,Step 7,D add rural,D add rural,D add rural,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,z clean fuel deficit,z clean fuel deficit,z clean fuel deficit,1.3543110929946196,1.3543110929946196,1.3543110929946196,NA,NA,NA,NA,NA,NA
S7 DALY-based smoking-adjusted burden residual D add rural,S7 DALY-based smoking-adjusted burden residual D add rural,S7 DALY-based smoking-adjusted burden residual D add rural,Step 7,Step 7,Step 7,D add rural,D add rural,D add rural,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,z rural clean fuel disadvantage,z rural clean fuel disadvantage,z rural clean fuel disadvantage,1.2679188481580448,1.2679188481580448,1.2679188481580448,NA,NA,NA,NA,NA,NA
S7 DALY-based smoking-adjusted burden residual D add rural,S7 DALY-based smoking-adjusted burden residual D add rural,S7 DALY-based smoking-adjusted burden residual D add rural,Step 7,Step 7,Step 7,D add rural,D add rural,D add rural,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,z PM2.5,z PM2.5,z PM2.5,1.1503822864600075,1.1503822864600075,1.1503822864600075,NA,NA,NA,NA,NA,NA
S7 DALY-based smoking-adjusted burden residual E income sensitivity,S7 DALY-based smoking-adjusted burden residual E income sensitivity,S7 DALY-based smoking-adjusted burden residual E income sensitivity,Step 7,Step 7,Step 7,E income sensitivity,E income sensitivity,E income sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,z clean fuel deficit,z clean fuel deficit,z clean fuel deficit,NA,NA,NA,3.93969107733752,3.93969107733752,3.93969107733752,1.9848655061080387,1.9848655061080387,1.9848655061080387
S7 DALY-based smoking-adjusted burden residual E income sensitivity,S7 DALY-based smoking-adjusted burden residual E income sensitivity,S7 DALY-based smoking-adjusted burden residual E income sensitivity,Step 7,Step 7,Step 7,E income sensitivity,E income sensitivity,E income sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,z PM2.5,z PM2.5,z PM2.5,NA,NA,NA,1.3556790491181403,1.3556790491181403,1.3556790491181403,1.164336312719886,1.164336312719886,1.164336312719886
S7 DALY-based smoking-adjusted burden residual E income sensitivity,S7 DALY-based smoking-adjusted burden residual E income sensitivity,S7 DALY-based smoking-adjusted burden residual E income sensitivity,Step 7,Step 7,Step 7,E income sensitivity,E income sensitivity,E income sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,income group model,income group model,income group model,NA,NA,NA,4.560610439231003,4.560610439231003,4.560610439231003,1.2877666176705842,1.2877666176705842,1.2877666176705842
S7 DALY-based smoking-adjusted burden residual E region sensitivity,S7 DALY-based smoking-adjusted burden residual E region sensitivity,S7 DALY-based smoking-adjusted burden residual E region sensitivity,Step 7,Step 7,Step 7,E region sensitivity,E region sensitivity,E region sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,z clean fuel deficit,z clean fuel deficit,z clean fuel deficit,NA,NA,NA,2.3748149515489163,2.3748149515489163,2.3748149515489163,1.5410434619273126,1.5410434619273126,1.5410434619273126
S7 DALY-based smoking-adjusted burden residual E region sensitivity,S7 DALY-based smoking-adjusted burden residual E region sensitivity,S7 DALY-based smoking-adjusted burden residual E region sensitivity,Step 7,Step 7,Step 7,E region sensitivity,E region sensitivity,E region sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,z PM2.5,z PM2.5,z PM2.5,NA,NA,NA,2.0173782581954227,2.0173782581954227,2.0173782581954227,1.4203444153427798,1.4203444153427798,1.4203444153427798
S7 DALY-based smoking-adjusted burden residual E region sensitivity,S7 DALY-based smoking-adjusted burden residual E region sensitivity,S7 DALY-based smoking-adjusted burden residual E region sensitivity,Step 7,Step 7,Step 7,E region sensitivity,E region sensitivity,E region sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,WHO region model,WHO region model,WHO region model,NA,NA,NA,3.9543925041965116,3.9543925041965116,3.9543925041965116,1.147381854654131,1.147381854654131,1.147381854654131
