Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.
Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.
Group type,Group,Group N,Variable,Label,Domain,Unit,N,Median,Q1,Q3,Iqr,Min,Max,Range,Median iqr,Notes
WHO region,European,53,female smoking 2022,Current female smoking,Tobacco exposure,%,49,19.5,11.9,24.0,12.1,0.1,39.1,0.10 to 39.10,19.50 (11.90-24.00),Female age-standardized current tobacco smoking prevalence in 2022.
WHO region,European,53,clean fuel deficit,Clean-fuel deficit,Household energy,percentage points,52,0.0,0.0,1.7249999999999943,1.7249999999999943,0.0,59.8,0.00 to 59.80,0.00 (0.00-1.72),100 minus national clean fuel access in 2020.
WHO region,European,53,rural clean fuel disadvantage,Rural clean-fuel disadvantage,Household energy,percentage points,52,0.0,0.0,2.849999999999998,2.849999999999998,0.0,46.2,0.00 to 46.20,0.00 (0.00-2.85),Urban clean fuel access minus rural clean fuel access in 2020.
WHO region,European,53,PM2.5 2019,PM2.5,Ambient pollution,ug/m3,53,13.50727,9.51575,19.06419,9.54844,5.46669,53.64558,5.47 to 53.65,13.51 (9.52-19.06),National annual mean PM2.5 in 2019.
WHO region,European,53,female LC mort 2021,Female lung cancer mortality,Lung cancer burden,"per 100,000",53,25.223180770874023,14.76042652130127,37.45182037353515,22.69139385223388,2.589667320251465,155.92454528808594,2.59 to 155.92,25.22 (14.76-37.45),"Female trachea, bronchus, lung cancer mortality rate in 2021."
WHO region,European,53,female LC YLL 2021,Female lung cancer YLL,Lung cancer burden,"per 100,000",53,545.1759643554688,329.4829406738281,746.102294921875,416.6193542480469,83.09662628173828,2433.771240234375,83.10 to 2433.77,545.18 (329.48-746.10),"Female trachea, bronchus, lung cancer years of life lost rate in 2021."
WHO region,European,53,female LC DALY 2021,Female lung cancer DALY,Lung cancer burden,"per 100,000",53,550.2246408548328,332.1330992611215,761.410139568158,429.2770403070365,83.79399704743801,2473.292370584164,83.79 to 2473.29,550.22 (332.13-761.41),"Female trachea, bronchus, lung cancer disability-adjusted life years rate in 2021."
WHO region,European,53,multiple-exposure score,multiple-exposure score,Composite exposure,z-score index,48,-0.18021231487290273,-0.34763192432173545,0.10194952874097829,0.44958145306271374,-0.6558991281833333,1.0674990104367248,-0.66 to 1.07,-0.18 (-0.35-0.10),"Mean of z-current smoking, z-clean-fuel deficit, and z-PM2.5; complete cases only."
WHO region,European,53,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,49,-0.0725127296089465,-0.4491931763928106,0.2639684421355266,0.7131616185283371,-0.9840524831676408,1.7125517312645937,-0.98 to 1.71,-0.07 (-0.45-0.26),Residual from Step 6 primary mortality model; positive values indicate mortality burden residual above first-stage expectation.
WHO region,European,53,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,49,-0.1350706327599607,-0.4604841100311262,0.24584692083286,0.7063310308639862,-1.0834127859795233,2.086483475063904,-1.08 to 2.09,-0.14 (-0.46-0.25),Residual from Step 6 primary YLL model; positive values indicate excess YLL burden above first-stage expectation.
