ISO3,Country,WHO region,Income group,Main typology,Kmeans cluster 4,Hierarchical cluster 4,PC1,PC2,Z current smoking cluster,Z clean fuel deficit cluster,Z PM2.5 cluster
FJI,Fiji,Western Pacific,Upper-middle-income,double exposure,K1,H4,0.6132838162175587,-1.0783105365098942,0.37568999268800496,0.5113804223488078,-1.0183297583797986
FRA,France,European,High-income,single exposure,K4,H3,2.2969335627205076,-0.2187660577151888,2.351084676765694,-0.8394212546829801,-0.793061470384309
GBR,The United Kingdom,European,High-income,single exposure,K1,H2,1.169205290721366,0.15029267377561512,0.298601419650827,-0.8394212546829801,-0.8615464172967074
GEO,Georgia,European,Upper-middle-income,low exposure,K1,H2,0.3185372759721621,0.3595559327531518,-0.16393001857224157,-0.5612363548586118,-0.1668724349988959
GHA,Ghana,African,Lower-middle-income,double exposure,K3,H1,-2.182895200741423,0.11544289836940469,-0.8673632475364915,1.0784496412215583,1.7959312868143014
GMB,Gambia,African,Low-income,double exposure,K2,H1,-2.2188382279516574,-0.7413859438675086,-0.848091104277197,1.7899610196184998,1.291042686964446
GNB,Guinea-Bissau,African,Low-income,double exposure,K2,H1,-2.031380976303697,-0.9138322973335735,-0.848091104277197,1.8086850032605246,0.9815850725119617
GRC,Greece,European,High-income,single exposure,K4,H3,1.9333817556423705,-0.0065258358325931964,2.0523664562466286,-0.8394212546829801,-0.49001627144679144
GTM,Guatemala,Americas,Upper-middle-income,single exposure,K2,H4,-0.7200240523827439,-0.4973088394397947,-0.73245824472143,0.666522001097013,-0.04438031162427358
GUY,Guyana,Americas,High-income,low exposure,K1,H2,0.5345695596791442,0.40222319755948077,-0.68427788657319355,-0.8394212546829801,-0.7458632111905867
HND,Honduras,Americas,Lower-middle-income,single exposure,K2,H4,-0.5637685863649684,-0.4474674651319942,-0.73245824472143,0.527429551184829,-0.17653470984054248
HRV,Croatia,European,High-income,single exposure,K4,H3,2.270990237273624,-0.10900313298918524,2.6979832554329946,-0.8394212546829801,-0.4415979508940269
HTI,Haiti,Americas,Lower-middle-income,single exposure,K2,H4,-0.7109170725128674,-1.8068807170258534,-0.6553696716842519,1.7230896494684114,-0.8487725130975032
HUN,Hungary,European,High-income,single exposure,K4,H3,1.8134160935038381,0.02693627937118298,1.811464665505447,-0.8394212546829801,-0.5175123948836707
IDN,Indonesia,Western Pacific,Upper-middle-income,low exposure,K1,H2,-0.06598906615596702,0.36168338138777095,-0.693913958202841,-0.42749361455843476,-0.1468210866884808
IND,India,South-East Asia,Lower-middle-income,single exposure,K3,H1,-1.7954863898838207,1.108391433746762,-0.7806386028696662,0.05665510532820588,2.09641777627075
IRL,Ireland,European,High-income,single exposure,K4,H3,1.4833920851596605,0.014435888730456758,0.7418607146146009,-0.8394212546829801,-0.9576322514120569
IRN,Iran (Islamic Republic of),Eastern Mediterranean,Upper-middle-income,single exposure,K1,H2,-0.5264904638985641,1.0979590040162868,-0.7902746744993135,-0.7431264816668528,0.746320575170472
IRQ,Iraq,Eastern Mediterranean,Upper-middle-income,single exposure,K3,H2,-0.8089398046859199,1.4344125937487218,-0.73245824472143,-0.8206972710409552,1.304519381427714
ISL,Iceland,European,High-income,low exposure,K1,H2,1.1769804051125388,0.0698288828746223,0.009519270761409184,-0.8394212546829801,-1.1327026898838708
ISR,Israel,European,High-income,single exposure,K1,H3,0.7847581214893379,0.49056795471404163,0.43350642246588866,-0.8394212546829801,-0.13727521603135823
ITA,Italy,European,High-income,single exposure,K4,H3,1.3193909418098206,0.19680401613362442,0.9442182188371936,-0.8394212546829801,-0.5189499865625423
JAM,Jamaica,Americas,Upper-middle-income,low exposure,K1,H2,0.3280599317383115,0.3441872345398775,-0.5590089553877792,-0.6361322894267112,-0.4748189776310278
JOR,Jordan,Eastern Mediterranean,Lower-middle-income,double exposure,K1,H3,0.47290181937064,0.723479112537014,0.41423427920659406,-0.8313966902649695,0.32842446004618064
JPN,Japan,Western Pacific,High-income,low exposure,K1,H2,0.9540660359699707,0.25198313272442685,0.028791414020703638,-0.8394212546829801,-0.7655537065289774
KAZ,Kazakhstan,European,Upper-middle-income,single exposure,K1,H2,-0.028468532792132795,0.7596600310481681,-0.2795628781280086,-0.6842796759347748,0.374258607702512
KEN,Kenya,African,Lower-middle-income,single exposure,K2,H4,-0.6744965261268702,-1.246980480348405,-0.8191828893882552,1.2188795185367443,-0.6426774493454257
KGZ,Kyrgyzstan,European,Lower-middle-income,single exposure,K3,H2,-0.9343110675028699,0.8783469610269133,-0.587917170276721,-0.26700232619822223,1.1805387395434908
KHM,Cambodia,Western Pacific,Lower-middle-income,single exposure,K2,H4,-0.631960762220793,-0.6735523649720431,-0.7420943163510773,0.7494425000831227,-0.25866295470530887
KIR,Kiribati,Western Pacific,Lower-middle-income,double exposure,K4,H4,0.828222727755381,-2.1709671909911528,1.6861957343200327,1.5171258294061387,-0.999604690246804
KOR,Republic of Korea,Western Pacific,High-income,low exposure,K1,H2,0.13313721883634688,0.8104748250464824,-0.33737930790589227,-0.8394212546829801,0.19496633496324248
KWT,Kuwait,Eastern Mediterranean,High-income,single exposure,K3,H2,-1.926211786629818,2.3559040037414354,-0.693913958202841,-0.8394212546829801,3.1079374011075553
LAO,Lao People's Democratic Republic,Western Pacific,Lower-middle-income,single exposure,K2,H4,-1.057540612999272,-1.3228929900055646,-0.4433760958320121,1.6000463283922486,-0.014761994398290939
LBR,Liberia,African,Low-income,double exposure,K2,H1,-2.0367695496985116,-0.9031286883929838,-0.7710025312400189,1.819384422484539,1.0503966786671808
LCA,Saint Lucia,Americas,Upper-middle-income,low exposure,K1,H2,0.5871828573451708,0.16264041362199527,-0.6071893135360156,-0.66555569229275,-0.9007702623243813
LKA,Sri Lanka,South-East Asia,Lower-middle-income,single exposure,K2,H4,-1.108327471800829,-0.614049483640432,-0.8769993191661389,0.9768051585934239,0.18331500361854186
LSO,Lesotho,African,Lower-middle-income,single exposure,K2,H4,-0.5845214866925692,-0.4899371799142853,-0.8577271759068442,0.5488283896328573,-0.2735743307428356
LTU,Lithuania,European,High-income,single exposure,K4,H3,1.5311050917307436,0.04336201798916611,1.0020346486150769,-0.8394212546829801,-0.7994651555854364
LUX,Luxembourg,European,High-income,single exposure,K4,H3,1.7039309654364352,-0.04697705570095684,1.1851200095783752,-0.8394212546829801,-0.9067287015197044
LVA,Latvia,European,High-income,single exposure,K4,H3,1.443499033560765,0.10805078012889774,0.9827625053557825,-0.8394212546829801,-0.6792225430767408
MAR,Morocco,Eastern Mediterranean,Lower-middle-income,low exposure,K1,H2,0.33542060522134926,0.47057061005506584,-0.7999107461289607,-0.7912738681749164,-0.5760120453423683
MDA,Republic of Moldova,European,Upper-middle-income,low exposure,K1,H2,0.6945651206687169,0.31617099305658386,-0.2506546632390669,-0.7832493037569059,-0.6542392949732737
MDG,Madagascar,African,Low-income,single exposure,K2,H4,-1.1105536065083945,-1.615978185396507,-0.7710025312400189,1.8006604388425143,-0.3881626099882771
MDV,Maldives,South-East Asia,Upper-middle-income,low exposure,K1,H2,0.5290647235631025,0.43282805265900753,-0.5301007404988375,-0.8287218354589658,-0.6078151236066363
MEX,Mexico,Americas,Upper-middle-income,low exposure,K1,H2,0.2736050090991585,0.22397048260188446,-0.23138251997977233,-0.43819303378244906,-0.256822313537523
MHL,Marshall Islands,Western Pacific,Upper-middle-income,low exposure,K1,H4,0.33166859499972895,-0.5567374104920324,-0.5108285972395429,0.09142821780625184,-1.0289429099037757
MLI,Mali,African,Low-income,double exposure,K2,H1,-2.1890563660029416,-0.7768442952029143,-0.8288189610179026,1.8033352936485176,1.2506853561899693
MLT,Malta,European,High-income,single exposure,K4,H3,1.6048786617153845,0.07138056397372372,1.339297155652731,-0.8394212546829801,-0.6131486178362959
MMR,Myanmar,South-East Asia,Lower-middle-income,double exposure,K2,H4,-0.9903608252784007,-0.3682426569612784,-0.5975532419063683,0.7628167741131404,0.42248122372004554
MNE,Montenegro,European,Upper-middle-income,single exposure,K4,H3,1.3262211950592655,-0.7481643685314197,2.3029043186174576,0.19039784562838288,-0.14999528329522008
MNG,Mongolia,Western Pacific,Upper-middle-income,single exposure,K3,H1,-1.291100485909378,0.34911049688355367,-0.2602907348687142,0.44985876181072637,1.4511151737864938
MRT,Mauritania,African,Lower-middle-income,double exposure,K3,H1,-1.66821142700246,0.37620185755154933,-0.7613664596103716,0.5648775184688786,1.500648064406076
MUS,Mauritius,African,Upper-middle-income,low exposure,K1,H2,0.5936308762026785,0.34161028774257984,-0.6071893135360156,-0.8126727066229447,-0.7912622982072597
MWI,Malawi,African,Low-income,single exposure,K2,H4,-1.2216826880899085,-1.5109020182430313,-0.7710025312400189,1.7872861648124965,-0.20285951617064882
MYS,Malaysia,Western Pacific,Upper-middle-income,low exposure,K1,H2,-0.21422979785821836,0.5386494131608427,-0.848091104277197,-0.5064018313355393,0.01191347953769418
NAM,Namibia,African,Lower-middle-income,single exposure,K1,H4,-0.1019525573242116,-0.8097172517928676,-0.4530121674616594,0.5809266473048998,-0.6945798926462249
NER,Niger,African,Low-income,double exposure,K3,H1,-2.6962716764491743,-0.2890910641974058,-0.8384550326475498,1.7337890686924258,2.0947284605428456
NGA,Nigeria,African,Lower-middle-income,double exposure,K3,H1,-2.7525683432364776,0.25613497489376735,-0.8577271759068442,1.3298859929858908,2.4942632706107806
NLD,Netherlands (Kingdom of the),European,High-income,single exposure,K4,H3,1.4753424734016,0.07035685539464676,0.9345821472075462,-0.8394212546829801,-0.7723626237974791
NOR,Norway,European,High-income,single exposure,K1,H2,1.378700427339789,0.01099515874421253,0.4045982075769468,-0.8394212546829801,-1.0954198846331349
NPL,Nepal,South-East Asia,Lower-middle-income,double exposure,K2,H1,-1.3183432217436575,-0.11081764828218621,-0.37592359442448126,0.8109641606212042,1.0966600667539446
NRU,Nauru,Western Pacific,High-income,single exposure,K4,H3,3.03783661598691,-0.5378392872331544,3.4014164843972448,-0.8394212546829801,-1.0151191854653956
NZL,New Zealand,Western Pacific,High-income,single exposure,K1,H2,1.1397292917657855,0.14153478465983826,0.17333248846541255,-0.8394212546829801,-0.9274937529864824
OMN,Oman,Eastern Mediterranean,High-income,single exposure,K3,H2,-0.6665114677560287,1.3124325839576647,-0.8577271759068442,-0.8394212546829801,0.9839771785039302
PAK,Pakistan,Eastern Mediterranean,Lower-middle-income,double exposure,K3,H1,-1.930086352551974,0.69093645425967265,-0.6071893135360156,0.5113804223488078,2.0932952340208937
PAN,Panama,Americas,High-income,low exposure,K1,H2,0.48686281494560607,0.4327185657267508,-0.7131861014621353,-0.8394212546829801,-0.6968781477644209
PER,Peru,Americas,Upper-middle-income,single exposure,K1,H2,-0.4629778573627379,0.7532401547120642,-0.6457336000546046,-0.47831585587250214,0.5607759426699565
PHL,Philippines,Western Pacific,Lower-middle-income,low exposure,K2,H4,-0.5022711833637711,-0.2563160613450859,-0.46264823909130665,0.3910119560786484,0.07955667869075318
PLW,Palau,Western Pacific,High-income,low exposure,K1,H2,0.983640206418551,0.17895157869921396,-0.16393001857224157,-0.8394212546829801,-0.9846081936493444
PNG,Papua New Guinea,Western Pacific,Lower-middle-income,double exposure,K4,H4,0.63588569060031,-2.135409099171003,1.5031103733567344,1.5732977803322132,-0.9073929328976447
POL,Poland,European,High-income,single exposure,K4,H3,1.1610174181327564,0.347461427096961,1.040578935133666,-0.8394212546829801,-0.18405005500387434
PRK,Democratic People's Republic of Korea,South-East Asia,Low-income,double exposure,K2,H1,-2.211456435502665,-0.411526412787823,-0.8962714624254333,1.511776119794132,1.4625045957160157
PRT,Portugal,European,High-income,single exposure,K4,H3,1.7263863989094403,-0.08711255456502365,1.0983953649115494,-0.8394212546829801,-1.0196604037141388
PRY,Paraguay,Americas,Upper-middle-income,low exposure,K1,H4,0.1475149457250613,-0.27391514270514267,-0.5204646688691902,-0.019578256642894767,-0.658262514600885
QAT,Qatar,Eastern Mediterranean,High-income,single exposure,K3,H2,-1.7036153865484003,2.174002518070313,-0.7131861014621353,-0.8394212546829801,2.7412875006938084
ROU,Romania,European,High-income,single exposure,K4,H3,1.4282291811657977,0.13999811855265937,1.0598510783929607,-0.8394212546829801,-0.5862010491189862
RUS,Russian Federation,European,High-income,single exposure,K4,H3,1.4734233772961538,0.03226475858325145,0.7804050011331899,-0.8394212546829801,-0.9074584102514395
RWA,Rwanda,African,Low-income,double exposure,K2,H1,-1.8581124155439745,-0.8668287720110346,-0.5590089553877792,1.720414794662408,1.040353180121218
SAU,Saudi Arabia,Eastern Mediterranean,High-income,single exposure,K3,H2,-1.6109257730909328,2.102796565680255,-0.7035500298324882,-0.8394212546829801,2.6044340110535353
SEN,Senegal,African,Lower-middle-income,double exposure,K2,H1,-1.7701862799143362,-0.12487220171317837,-0.8384550326475498,1.0142531258774732,1.2262419324922325
SGP,Singapore,Western Pacific,High-income,low exposure,K1,H2,0.5798194648056902,0.43310732805072527,-0.42410395257271755,-0.8394212546829801,-0.5838300413854627
SLB,Solomon Islands,Western Pacific,Lower-middle-income,double exposure,K2,H4,0.3657710701325635,-2.0970379955408487,0.973126433726135,1.6053960380042558,-0.9842691664619181
SLE,Sierra Leone,African,Low-income,double exposure,K2,H1,-2.059079340930887,-0.81432082600934,-0.5204646688691902,1.8140347128725318,1.3141896590570465
SLV,El Salvador,Americas,Upper-middle-income,low exposure,K1,H2,-0.10480212664126345,0.6352772543511489,-0.7131861014621353,-0.6254328702026969,0.057791278763221945
SRB,Serbia,European,Upper-middle-income,single exposure,K4,H3,1.786885407122152,-0.3657768301759113,2.8714325447666456,-0.29107601945225436,0.027733535740661237
STP,Sao Tome and Principe,African,Lower-middle-income,double exposure,K2,H1,-1.9237502994756683,-0.9058072616873478,-0.8095468177586079,1.7418136331104361,0.9015521029686274
SVK,Slovakia,European,High-income,single exposure,K4,H3,1.7590781867925918,0.08003570059454818,1.850008952024036,-0.8394212546829801,-0.39769684022694735
SVN,Slovenia,European,High-income,single exposure,K4,H3,1.2932747766682149,0.20270800533414235,0.8864017890593099,-0.8394212546829801,-0.5297486572556046
SWE,Sweden,European,High-income,single exposure,K1,H2,1.3067354354310914,0.028584873423359136,0.2504210615025907,-0.8394212546829801,-1.1205719188041616
SWZ,Eswatini,African,Lower-middle-income,single exposure,K1,H4,-0.4164985106476323,-0.5651341014076623,-0.7999107461289607,0.5140552771548113,-0.45723612555867527
SYC,Seychelles,African,High-income,low exposure,K1,H2,0.45035629829152773,0.5533546254849839,-0.35665145116518676,-0.8394212546829801,-0.3202029369585433
TCD,Chad,African,Low-income,double exposure,K2,H1,-2.174335390324938,-0.5587355898629858,-0.7420943163510773,1.637494295676298,1.4401193435058939
TGO,Togo,African,Low-income,double exposure,K2,H1,-1.9357816849311131,-0.6684968181197511,-0.848091104277197,1.551898941884185,1.0403393571243056
THA,Thailand,South-East Asia,Upper-middle-income,single exposure,K1,H2,-0.347393298864566,0.5638299572920292,-0.7517303879807244,-0.42214390494642795,0.23872921566119973
